step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
155.0,148,5757.0,20.934545454545454,4.9991472862384,24,1890.0,0.14665421565260148,0,7.0,0.7666907827536028,8,103.0,0.19408085504547715,0,4.0,0.5001514333829489,36,2104.0,0.050983806217819116,0,0.0,0.8527177744799236,0,0.0,0.8589352712882896,1,6.0,0.7655008779393899,0,0.0,0.9623024521189221,6,23.0,0.4282080896115023,36,2003.0,0.02152816298031659,0,4.0,0.5022590634931448,0,2.0,0.9507441692712747,1,73.0,0.4990426593027939,22,537.0,0.20818465891496135,14,453.0,0.2945247652018062,148,7209.0
160.0,137,5256.0,19.043478260869566,4.955589384411847,18,1895.0,0.19480204330304599,0,4.0,0.8869987862128338,2,97.0,0.38934741507457754,0,8.0,0.7378093678140307,31,2068.0,0.11922965979342978,0,4.0,0.7536201765846563,2,2.0,0.015493459201710058,0,0.0,0.9281157180402871,0,0.0,0.955022601933365,6,53.0,0.386504244471978,36,2186.0,0.026173679321728583,0,4.0,0.9201400475309597,1,4.0,0.5106619334819732,3,75.0,0.6563353449275104,24,654.0,0.1800577735840782,14,523.0,0.20120691620530998,137,7577.0
165.0,118,3789.0,14.406844106463879,4.547037554653905,12,1964.0,0.16954333395726692,1,1.0,0.7112620276898797,2,39.0,0.3116003154997621,0,6.0,0.8734886701698752,24,1827.0,0.16911938467823054,1,5.0,0.664730352134007,4,20.0,2.0418551681479003e-06,0,0.0,0.8965762373727453,0,0.0,0.9643518333461978,1,43.0,0.42831729874516244,31,2148.0,0.12263687978853931,0,6.0,0.8191973811274799,5,19.0,0.28215490589206765,3,86.0,0.521202008127062,26,782.0,0.09400111574223194,8,455.0,0.07954976278247758,118,7401.0
170.0,95,2413.0,9.105660377358491,5.048517257672386,13,2026.0,0.1917700823938149,2,8.0,0.4429960708855418,2,45.0,0.5434806100490605,0,4.0,0.8591612731990372,15,1831.0,0.21637221680116908,3,19.0,0.6240076938314777,0,18.0,0.3355318628817171,1,1.0,0.6485871716273803,0,0.0,0.8187018863363367,2,10.0,0.5223575461007745,22,1801.0,0.21589884434779585,0,4.0,0.6650054196159361,1,20.0,0.4020680092570631,3,101.0,0.3728736593324376,28,917.0,0.03456800687101888,3,247.0,0.26483847217862316,95,7052.0
175.0,87,1803.0,6.556363636363637,5.5059605402358445,20,2115.0,0.12901383945019698,0,4.0,0.6271281330853735,2,53.0,0.7478103374729637,2,8.0,0.5537262402194962,12,1896.0,0.1662043584823573,1,20.0,0.35414226889286304,0,4.0,0.8933773066203661,1,5.0,0.7645001518711567,2,5.0,0.7333054904582242,0,3.0,0.5968616780499368,15,1789.0,0.2266742705105495,0,8.0,0.8166475876189935,0,2.0,0.5884103616716891,3,120.0,0.17805663557749446,29,1060.0,0.07985097207355774,0,157.0,0.49408581625786546,87,7249.0
180.0,103,1524.0,5.501805054151625,5.056514428366583,28,2231.0,0.08698500745329364,0,0.0,0.8868447425045252,0,9.0,0.5689440221184409,5,31.0,0.31667366303432654,13,1951.0,0.09670328618800059,4,23.0,0.3596209144013197,0,4.0,0.9329586389932985,0,0.0,0.8498559725707557,0,0.0,0.46689492467875626,0,0.0,0.9189740877933054,10,1851.0,0.23767370796272347,2,10.0,0.5154438430069862,3,11.0,0.11739055113887294,0,43.0,0.7493581580662596,32,1215.0,0.1495342749386156,6,165.0,0.40945466580523765,103,7544.0
185.0,128,1966.0,7.021428571428571,4.701541308173219,33,2383.0,0.0986382720701455,0,0.0,0.9352779901424768,1,9.0,0.3117959226639278,6,61.0,0.4204302109128993,20,2039.0,0.047553912033664054,6,49.0,0.45026138777200586,1,1.0,0.00033549417940073237,0,0.0,0.908884557141563,5,14.0,0.36536880080740397,0,0.0,0.9483257487375593,12,1904.0,0.17953779316143115,6,33.0,0.42039383000861524,3,28.0,0.5808678491436443,0,4.0,0.8858761023844812,34,1379.0,0.18307252322753978,1,118.0,0.19002149786714104,128,8022.0
190.0,146,2611.0,9.065972222222221,4.367065079983579,36,2561.0,0.0970060432531353,1,2.0,0.5786710150683401,2,12.0,0.435289961374436,6,91.0,0.43028377516036626,26,2162.0,0.12111834216865332,6,77.0,0.28520662752206,1,9.0,0.30276845162055716,0,0.0,0.8865492110050716,0,16.0,0.5592348546126156,1,5.0,0.6053774919817961,20,1988.0,0.1355733672919835,8,69.0,0.24991492375487112,0,14.0,0.7881514125974861,0,0.0,0.5860836105663064,35,1553.0,0.09418817839921459,4,17.0,0.4388877202896647,146,8576.0
195.0,150,3029.0,10.779359430604982,4.166657899578897,30,2481.0,0.08708224090767369,4,16.0,0.43000704744372725,3,27.0,0.655143004017853,3,72.0,0.4426079681201804,33,2315.0,0.1865435181338301,6,111.0,0.1034382357514408,0,3.0,0.8446394847950988,0,0.0,0.9338962932672461,1,3.0,0.6894938528914637,0,4.0,0.7960049457041873,26,2102.0,0.06643301855127043,8,109.0,1.0705987192411707e-06,0,0.0,0.6918334467188879,0,3.0,0.4148252572372987,36,1732.0,0.050456284699355015,0,12.0,0.7392522586097147,150,8990.0
200.0,143,3319.0,11.76950354609929,4.69079462004219,24,2144.0,0.13536517940000736,0,17.0,0.645806762299315,6,49.0,0.48351104246979154,0,13.0,0.5692722996550171,36,2493.0,0.1099311641051042,0,83.0,0.5678742786766489,0,5.0,0.8342550541540105,0,2.0,0.7165690497605621,0,0.0,0.9051010593138673,0,2.0,0.9323416188089662,33,2254.0,0.0017019168058999183,8,151.0,0.06097980108448586,0,2.0,0.5533660659920852,0,3.0,0.917022905777211,36,1912.0,0.09451080515361823,0,0.0,0.8485011336595804,143,9130.0
